"game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","description","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.reason","status.abstractGameCode","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","rescheduleDate","rescheduleGameDate","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
630851,"/api/v1.1/game/630851/feed/live","R","2020","2020-07-23T23:08:00Z","2020-07-23",FALSE,1,TRUE,"N","P","N","14-630851-2020-07-23","2020","night","Nationals home opener",9,FALSE,145,3,1,"Regular Season","S","N","Normal Game","Final","F","Completed Early","FR",FALSE,"Rain","FALSE",4,TRUE,FALSE,1,1,0,"1",147,"New York Yankees","/api/v1/teams/147",1,FALSE,FALSE,1,0,1,"0",120,"Washington Nationals","/api/v1/teams/120",3309,"Nationals Park","/api/v1/venues/3309","/api/v1/game/630851/content",NA,NA,NA,NA,NA,NA,NA,NA
631377,"/api/v1.1/game/631377/feed/live","R","2020","2020-07-24T02:08:00Z","2020-07-23",FALSE,1,TRUE,"N","P","N","14-631377-2020-07-23","2020","night","Dodgers home opener",9,FALSE,145,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",1,FALSE,FALSE,1,0,1,"0",137,"San Francisco Giants","/api/v1/teams/137",8,TRUE,FALSE,1,1,0,"1",119,"Los Angeles Dodgers","/api/v1/teams/119",22,"Dodger Stadium","/api/v1/venues/22","/api/v1/game/631377/content",NA,NA,NA,NA,NA,NA,NA,NA
631242,"/api/v1.1/game/631242/feed/live","R","2020","2020-07-24T20:10:00Z","2020-07-24",FALSE,1,TRUE,"N","P","N","14-631242-2020-07-24","2020","day","Mets home opener",9,FALSE,145,3,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",0,FALSE,FALSE,1,0,1,"0",144,"Atlanta Braves","/api/v1/teams/144",1,TRUE,FALSE,1,1,0,"1",121,"New York Mets","/api/v1/teams/121",3289,"Citi Field","/api/v1/venues/3289","/api/v1/game/631242/content",NA,NA,NA,NA,NA,NA,NA,NA
631589,"/api/v1.1/game/631589/feed/live","R","2020","2020-07-24T22:10:00Z","2020-07-24",FALSE,1,TRUE,"N","P","N","14-631589-2020-07-24","2020","night","Reds home opener",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",1,FALSE,FALSE,1,0,1,"0",116,"Detroit Tigers","/api/v1/teams/116",7,TRUE,FALSE,1,1,0,"1",113,"Cincinnati Reds","/api/v1/teams/113",2602,"Great American Ball Park","/api/v1/venues/2602","/api/v1/game/631589/content",NA,NA,NA,NA,NA,NA,NA,NA
630966,"/api/v1.1/game/630966/feed/live","R","2020","2020-07-24T22:40:00Z","2020-07-24",FALSE,1,TRUE,"N","P","N","14-630966-2020-07-24","2020","night","Rays home opener",9,FALSE,NA,3,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",6,TRUE,FALSE,1,1,0,"1",141,"Toronto Blue Jays","/api/v1/teams/141",4,FALSE,FALSE,1,0,1,"0",139,"Tampa Bay Rays","/api/v1/teams/139",12,"Tropicana Field","/api/v1/venues/12","/api/v1/game/630966/content",NA,NA,NA,NA,NA,NA,NA,NA
631121,"/api/v1.1/game/631121/feed/live","R","2020","2020-07-24T23:05:00Z","2020-07-24",FALSE,1,TRUE,"N","P","N","14-631121-2020-07-24","2020","night","Phillies home opener",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",5,TRUE,FALSE,1,1,0,"1",146,"Miami Marlins","/api/v1/teams/146",2,FALSE,FALSE,1,0,1,"0",143,"Philadelphia Phillies","/api/v1/teams/143",2681,"Citizens Bank Park","/api/v1/venues/2681","/api/v1/game/631121/content",NA,NA,NA,NA,NA,NA,NA,NA
631563,"/api/v1.1/game/631563/feed/live","R","2020","2020-07-24T23:10:00Z","2020-07-24",FALSE,1,TRUE,"N","P","N","14-631563-2020-07-24","2020","night","Indians home opener",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",0,FALSE,FALSE,1,0,1,"0",118,"Kansas City Royals","/api/v1/teams/118",2,TRUE,FALSE,1,1,0,"1",114,"Cleveland Indians","/api/v1/teams/114",5,"Progressive Field","/api/v1/venues/5","/api/v1/game/631563/content",NA,NA,NA,NA,NA,NA,NA,NA
631641,"/api/v1.1/game/631641/feed/live","R","2020","2020-07-24T23:10:00Z","2020-07-24",FALSE,1,TRUE,"N","P","N","14-631641-2020-07-24","2020","night","Cubs home opener",9,FALSE,145,3,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",0,FALSE,FALSE,1,0,1,"0",158,"Milwaukee Brewers","/api/v1/teams/158",3,TRUE,FALSE,1,1,0,"1",112,"Chicago Cubs","/api/v1/teams/112",17,"Wrigley Field","/api/v1/venues/17","/api/v1/game/631641/content",NA,NA,NA,NA,NA,NA,NA,NA
631664,"/api/v1.1/game/631664/feed/live","R","2020","2020-07-24T23:30:00Z","2020-07-24",FALSE,1,TRUE,"N","P","N","14-631664-2020-07-24","2020","night","Red Sox home opener",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",2,FALSE,FALSE,1,0,1,"0",110,"Baltimore Orioles","/api/v1/teams/110",13,TRUE,FALSE,1,1,0,"1",111,"Boston Red Sox","/api/v1/teams/111",3,"Fenway Park","/api/v1/venues/3","/api/v1/game/631664/content",NA,NA,NA,NA,NA,NA,NA,NA
630941,"/api/v1.1/game/630941/feed/live","R","2020","2020-07-25T00:05:00Z","2020-07-24",FALSE,1,TRUE,"N","P","N","14-630941-2020-07-24","2020","night","Rangers home opener",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",0,FALSE,FALSE,1,0,1,"0",115,"Colorado Rockies","/api/v1/teams/115",1,TRUE,FALSE,1,1,0,"1",140,"Texas Rangers","/api/v1/teams/140",5325,"Globe Life Field","/api/v1/venues/5325","/api/v1/game/630941/content",NA,NA,NA,NA,NA,NA,NA,NA
631514,"/api/v1.1/game/631514/feed/live","R","2020","2020-07-25T00:10:00Z","2020-07-24",FALSE,1,TRUE,"N","P","N","14-631514-2020-07-24","2020","night","White Sox home opener",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",10,TRUE,FALSE,1,1,0,"1",142,"Minnesota Twins","/api/v1/teams/142",5,FALSE,FALSE,1,0,1,"0",145,"Chicago White Sox","/api/v1/teams/145",4,"Guaranteed Rate Field","/api/v1/venues/4","/api/v1/game/631514/content",NA,NA,NA,NA,NA,NA,NA,NA
630989,"/api/v1.1/game/630989/feed/live","R","2020","2020-07-25T00:15:00Z","2020-07-24",FALSE,1,TRUE,"N","P","N","14-630989-2020-07-24","2020","night","Cardinals home opener",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",4,FALSE,FALSE,1,0,1,"0",134,"Pittsburgh Pirates","/api/v1/teams/134",5,TRUE,FALSE,1,1,0,"1",138,"St. Louis Cardinals","/api/v1/teams/138",2889,"Busch Stadium","/api/v1/venues/2889","/api/v1/game/630989/content",NA,NA,NA,NA,NA,NA,NA,NA
631091,"/api/v1.1/game/631091/feed/live","R","2020","2020-07-25T01:10:00Z","2020-07-24",FALSE,1,TRUE,"N","P","N","14-631091-2020-07-24","2020","night","Padres home opener",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",2,FALSE,FALSE,1,0,1,"0",109,"Arizona Diamondbacks","/api/v1/teams/109",7,TRUE,FALSE,1,1,0,"1",135,"San Diego Padres","/api/v1/teams/135",2680,"Petco Park","/api/v1/venues/2680","/api/v1/game/631091/content",NA,NA,NA,NA,NA,NA,NA,NA
631438,"/api/v1.1/game/631438/feed/live","R","2020","2020-07-25T01:10:00Z","2020-07-24",FALSE,1,TRUE,"N","P","N","14-631438-2020-07-24","2020","night","Astros home opener",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",2,FALSE,FALSE,1,0,1,"0",136,"Seattle Mariners","/api/v1/teams/136",8,TRUE,FALSE,1,1,0,"1",117,"Houston Astros","/api/v1/teams/117",2392,"Minute Maid Park","/api/v1/venues/2392","/api/v1/game/631438/content",NA,NA,NA,NA,NA,NA,NA,NA
631378,"/api/v1.1/game/631378/feed/live","R","2020","2020-07-25T01:40:00Z","2020-07-24",FALSE,1,TRUE,"N","P","N","14-631378-2020-07-24","2020","night",NA,9,FALSE,120,4,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",1,FALSE,FALSE,1,0,2,"0",137,"San Francisco Giants","/api/v1/teams/137",9,TRUE,FALSE,1,2,0,"1",119,"Los Angeles Dodgers","/api/v1/teams/119",22,"Dodger Stadium","/api/v1/venues/22","/api/v1/game/631378/content",NA,NA,NA,NA,NA,NA,NA,NA
631182,"/api/v1.1/game/631182/feed/live","R","2020","2020-07-25T02:10:00Z","2020-07-24",FALSE,1,TRUE,"N","P","N","14-631182-2020-07-24","2020","night","Athletics home opener",9,FALSE,145,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",3,FALSE,FALSE,1,0,1,"0",108,"Los Angeles Angels","/api/v1/teams/108",7,TRUE,FALSE,1,1,0,"1",133,"Oakland Athletics","/api/v1/teams/133",10,"Oakland Coliseum","/api/v1/venues/10","/api/v1/game/631182/content",NA,NA,NA,NA,NA,NA,NA,NA
631642,"/api/v1.1/game/631642/feed/live","R","2020","2020-07-25T17:05:00Z","2020-07-25",FALSE,1,TRUE,"N","P","N","14-631642-2020-07-25","2020","day",NA,9,FALSE,145,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",8,TRUE,FALSE,1,1,1,"0.5",158,"Milwaukee Brewers","/api/v1/teams/158",3,FALSE,FALSE,1,1,1,"0.5",112,"Chicago Cubs","/api/v1/teams/112",17,"Wrigley Field","/api/v1/venues/17","/api/v1/game/631642/content",NA,NA,NA,NA,NA,NA,NA,NA
631666,"/api/v1.1/game/631666/feed/live","R","2020","2020-07-25T17:35:00Z","2020-07-25",FALSE,1,TRUE,"N","P","N","14-631666-2020-07-25","2020","day",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",7,TRUE,FALSE,1,1,1,"0.5",110,"Baltimore Orioles","/api/v1/teams/110",2,FALSE,FALSE,1,1,1,"0.5",111,"Boston Red Sox","/api/v1/teams/111",3,"Fenway Park","/api/v1/venues/3","/api/v1/game/631666/content",NA,NA,NA,NA,NA,NA,NA,NA
631515,"/api/v1.1/game/631515/feed/live","R","2020","2020-07-25T18:10:00Z","2020-07-25",FALSE,1,TRUE,"N","P","N","14-631515-2020-07-25","2020","day",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",3,FALSE,FALSE,1,1,1,"0.5",142,"Minnesota Twins","/api/v1/teams/142",10,TRUE,FALSE,1,1,1,"0.5",145,"Chicago White Sox","/api/v1/teams/145",4,"Guaranteed Rate Field","/api/v1/venues/4","/api/v1/game/631515/content",NA,NA,NA,NA,NA,NA,NA,NA
630992,"/api/v1.1/game/630992/feed/live","R","2020","2020-07-25T18:15:00Z","2020-07-25",FALSE,1,TRUE,"N","P","N","14-630992-2020-07-25","2020","day",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",1,FALSE,FALSE,1,0,2,"0",134,"Pittsburgh Pirates","/api/v1/teams/134",9,TRUE,FALSE,1,2,0,"1",138,"St. Louis Cardinals","/api/v1/teams/138",2889,"Busch Stadium","/api/v1/venues/2889","/api/v1/game/630992/content",NA,NA,NA,NA,NA,NA,NA,NA
630967,"/api/v1.1/game/630967/feed/live","R","2020","2020-07-25T19:10:00Z","2020-07-25",FALSE,1,TRUE,"N","P","N","14-630967-2020-07-25","2020","day",NA,9,FALSE,NA,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",1,FALSE,FALSE,1,1,1,"0.5",141,"Toronto Blue Jays","/api/v1/teams/141",4,TRUE,FALSE,1,1,1,"0.5",139,"Tampa Bay Rays","/api/v1/teams/139",12,"Tropicana Field","/api/v1/venues/12","/api/v1/game/630967/content",NA,NA,NA,NA,NA,NA,NA,NA
630942,"/api/v1.1/game/630942/feed/live","R","2020","2020-07-25T20:05:00Z","2020-07-25",FALSE,1,TRUE,"N","P","N","14-630942-2020-07-25","2020","day",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",3,TRUE,FALSE,1,1,1,"0.5",115,"Colorado Rockies","/api/v1/teams/115",2,FALSE,FALSE,1,1,1,"0.5",140,"Texas Rangers","/api/v1/teams/140",5325,"Globe Life Field","/api/v1/venues/5325","/api/v1/game/630942/content",NA,NA,NA,NA,NA,NA,NA,NA
631108,"/api/v1.1/game/631108/feed/live","R","2020","2020-07-25T20:05:00Z","2020-07-25",FALSE,1,TRUE,"N","P","N","14-631108-2020-07-25","2020","day",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",1,FALSE,FALSE,1,1,1,"0.5",146,"Miami Marlins","/api/v1/teams/146",7,TRUE,FALSE,1,1,1,"0.5",143,"Philadelphia Phillies","/api/v1/teams/143",2681,"Citizens Bank Park","/api/v1/venues/2681","/api/v1/game/631108/content",NA,NA,NA,NA,NA,NA,NA,NA
631181,"/api/v1.1/game/631181/feed/live","R","2020","2020-07-25T20:10:00Z","2020-07-25",FALSE,1,TRUE,"N","P","N","14-631181-2020-07-25","2020","day",NA,9,FALSE,120,4,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",4,TRUE,FALSE,1,1,1,"0.5",108,"Los Angeles Angels","/api/v1/teams/108",1,FALSE,FALSE,1,1,1,"0.5",133,"Oakland Athletics","/api/v1/teams/133",10,"Oakland Coliseum","/api/v1/venues/10","/api/v1/game/631181/content",NA,NA,NA,NA,NA,NA,NA,NA
631453,"/api/v1.1/game/631453/feed/live","R","2020","2020-07-25T20:10:00Z","2020-07-25",FALSE,1,TRUE,"N","P","N","14-631453-2020-07-25","2020","day",NA,9,FALSE,120,4,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",2,FALSE,FALSE,1,0,2,"0",136,"Seattle Mariners","/api/v1/teams/136",7,TRUE,FALSE,1,2,0,"1",117,"Houston Astros","/api/v1/teams/117",2392,"Minute Maid Park","/api/v1/venues/2392","/api/v1/game/631453/content",NA,NA,NA,NA,NA,NA,NA,NA
631382,"/api/v1.1/game/631382/feed/live","R","2020","2020-07-25T20:10:00Z","2020-07-25",FALSE,1,TRUE,"N","P","N","14-631382-2020-07-25","2020","day",NA,9,FALSE,145,4,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",5,TRUE,FALSE,1,1,2,"0.333",137,"San Francisco Giants","/api/v1/teams/137",4,FALSE,FALSE,1,2,1,"0.667",119,"Los Angeles Dodgers","/api/v1/teams/119",22,"Dodger Stadium","/api/v1/venues/22","/api/v1/game/631382/content",NA,NA,NA,NA,NA,NA,NA,NA
631241,"/api/v1.1/game/631241/feed/live","R","2020","2020-07-25T20:10:00Z","2020-07-25",FALSE,1,TRUE,"N","P","N","14-631241-2020-07-25","2020","day",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",5,TRUE,FALSE,1,1,1,"0.5",144,"Atlanta Braves","/api/v1/teams/144",3,FALSE,FALSE,1,1,1,"0.5",121,"New York Mets","/api/v1/teams/121",3289,"Citi Field","/api/v1/venues/3289","/api/v1/game/631241/content",NA,NA,NA,NA,NA,NA,NA,NA
631603,"/api/v1.1/game/631603/feed/live","R","2020","2020-07-25T21:10:00Z","2020-07-25",FALSE,1,TRUE,"N","P","N","14-631603-2020-07-25","2020","night",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",6,TRUE,FALSE,1,1,1,"0.5",116,"Detroit Tigers","/api/v1/teams/116",4,FALSE,FALSE,1,1,1,"0.5",113,"Cincinnati Reds","/api/v1/teams/113",2602,"Great American Ball Park","/api/v1/venues/2602","/api/v1/game/631603/content",NA,NA,NA,NA,NA,NA,NA,NA
631565,"/api/v1.1/game/631565/feed/live","R","2020","2020-07-25T21:10:00Z","2020-07-25",FALSE,1,TRUE,"N","P","N","14-631565-2020-07-25","2020","night",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",3,TRUE,FALSE,1,1,1,"0.5",118,"Kansas City Royals","/api/v1/teams/118",2,FALSE,FALSE,1,1,1,"0.5",114,"Cleveland Indians","/api/v1/teams/114",5,"Progressive Field","/api/v1/venues/5","/api/v1/game/631565/content",NA,NA,NA,NA,NA,NA,NA,NA
630899,"/api/v1.1/game/630899/feed/live","R","2020","2020-07-25T23:15:00Z","2020-07-25",FALSE,1,TRUE,"N","P","N","14-630899-2020-07-25","2020","night",NA,9,FALSE,145,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",2,FALSE,FALSE,1,1,1,"0.5",147,"New York Yankees","/api/v1/teams/147",9,TRUE,FALSE,1,1,1,"0.5",120,"Washington Nationals","/api/v1/teams/120",3309,"Nationals Park","/api/v1/venues/3309","/api/v1/game/630899/content",NA,NA,NA,NA,NA,NA,NA,NA
631092,"/api/v1.1/game/631092/feed/live","R","2020","2020-07-26T01:10:00Z","2020-07-25",FALSE,1,TRUE,"N","P","N","14-631092-2020-07-25","2020","night",NA,9,FALSE,120,4,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",1,FALSE,FALSE,1,0,2,"0",109,"Arizona Diamondbacks","/api/v1/teams/109",5,TRUE,FALSE,1,2,0,"1",135,"San Diego Padres","/api/v1/teams/135",2680,"Petco Park","/api/v1/venues/2680","/api/v1/game/631092/content",NA,NA,NA,NA,NA,NA,NA,NA
631126,"/api/v1.1/game/631126/feed/live","R","2020","2020-07-26T17:05:00Z","2020-07-26",FALSE,1,TRUE,"N","P","N","14-631126-2020-07-26","2020","day",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",11,TRUE,FALSE,1,2,1,"0.667",146,"Miami Marlins","/api/v1/teams/146",6,FALSE,FALSE,1,1,2,"0.333",143,"Philadelphia Phillies","/api/v1/teams/143",2681,"Citizens Bank Park","/api/v1/venues/2681","/api/v1/game/631126/content",NA,NA,NA,NA,NA,NA,NA,NA
630856,"/api/v1.1/game/630856/feed/live","R","2020","2020-07-26T17:05:00Z","2020-07-26",FALSE,1,TRUE,"N","P","N","14-630856-2020-07-26","2020","day",NA,9,FALSE,145,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",3,TRUE,FALSE,1,2,1,"0.667",147,"New York Yankees","/api/v1/teams/147",2,FALSE,FALSE,1,1,2,"0.333",120,"Washington Nationals","/api/v1/teams/120",3309,"Nationals Park","/api/v1/venues/3309","/api/v1/game/630856/content",NA,NA,NA,NA,NA,NA,NA,NA
631591,"/api/v1.1/game/631591/feed/live","R","2020","2020-07-26T17:10:00Z","2020-07-26",FALSE,1,TRUE,"N","P","N","14-631591-2020-07-26","2020","day",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",3,TRUE,FALSE,1,2,1,"0.667",116,"Detroit Tigers","/api/v1/teams/116",2,FALSE,FALSE,1,1,2,"0.333",113,"Cincinnati Reds","/api/v1/teams/113",2602,"Great American Ball Park","/api/v1/venues/2602","/api/v1/game/631591/content",NA,NA,NA,NA,NA,NA,NA,NA
631566,"/api/v1.1/game/631566/feed/live","R","2020","2020-07-26T17:10:00Z","2020-07-26",FALSE,1,TRUE,"N","P","N","14-631566-2020-07-26","2020","day",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",2,FALSE,FALSE,1,1,2,"0.333",118,"Kansas City Royals","/api/v1/teams/118",9,TRUE,FALSE,1,2,1,"0.667",114,"Cleveland Indians","/api/v1/teams/114",5,"Progressive Field","/api/v1/venues/5","/api/v1/game/631566/content",NA,NA,NA,NA,NA,NA,NA,NA
630968,"/api/v1.1/game/630968/feed/live","R","2020","2020-07-26T17:10:00Z","2020-07-26",FALSE,1,TRUE,"N","P","N","14-630968-2020-07-26","2020","day",NA,9,FALSE,NA,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",5,FALSE,FALSE,1,1,2,"0.333",141,"Toronto Blue Jays","/api/v1/teams/141",6,TRUE,FALSE,1,2,1,"0.667",139,"Tampa Bay Rays","/api/v1/teams/139",12,"Tropicana Field","/api/v1/venues/12","/api/v1/game/630968/content",NA,NA,NA,NA,NA,NA,NA,NA
631668,"/api/v1.1/game/631668/feed/live","R","2020","2020-07-26T17:35:00Z","2020-07-26",FALSE,1,TRUE,"N","P","N","14-631668-2020-07-26","2020","day",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",7,TRUE,FALSE,1,2,1,"0.667",110,"Baltimore Orioles","/api/v1/teams/110",4,FALSE,FALSE,1,1,2,"0.333",111,"Boston Red Sox","/api/v1/teams/111",3,"Fenway Park","/api/v1/venues/3","/api/v1/game/631668/content",NA,NA,NA,NA,NA,NA,NA,NA
631441,"/api/v1.1/game/631441/feed/live","R","2020","2020-07-26T18:10:00Z","2020-07-26",FALSE,1,TRUE,"N","P","N","14-631441-2020-07-26","2020","day",NA,9,FALSE,120,4,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",7,TRUE,FALSE,1,1,2,"0.333",136,"Seattle Mariners","/api/v1/teams/136",6,FALSE,FALSE,1,2,1,"0.667",117,"Houston Astros","/api/v1/teams/117",2392,"Minute Maid Park","/api/v1/venues/2392","/api/v1/game/631441/content",NA,NA,NA,NA,NA,NA,NA,NA
631517,"/api/v1.1/game/631517/feed/live","R","2020","2020-07-26T18:10:00Z","2020-07-26",FALSE,1,TRUE,"N","P","N","14-631517-2020-07-26","2020","day",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",14,TRUE,FALSE,1,2,1,"0.667",142,"Minnesota Twins","/api/v1/teams/142",2,FALSE,FALSE,1,1,2,"0.333",145,"Chicago White Sox","/api/v1/teams/145",4,"Guaranteed Rate Field","/api/v1/venues/4","/api/v1/game/631517/content",NA,NA,NA,NA,NA,NA,NA,NA
630993,"/api/v1.1/game/630993/feed/live","R","2020","2020-07-26T18:15:00Z","2020-07-26",FALSE,1,TRUE,"N","P","N","14-630993-2020-07-26","2020","day",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",5,TRUE,FALSE,1,1,2,"0.333",134,"Pittsburgh Pirates","/api/v1/teams/134",1,FALSE,FALSE,1,2,1,"0.667",138,"St. Louis Cardinals","/api/v1/teams/138",2889,"Busch Stadium","/api/v1/venues/2889","/api/v1/game/630993/content",NA,NA,NA,NA,NA,NA,NA,NA
631643,"/api/v1.1/game/631643/feed/live","R","2020","2020-07-26T18:20:00Z","2020-07-26",FALSE,1,TRUE,"N","P","N","14-631643-2020-07-26","2020","day",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",1,FALSE,FALSE,1,1,2,"0.333",158,"Milwaukee Brewers","/api/v1/teams/158",9,TRUE,FALSE,1,2,1,"0.667",112,"Chicago Cubs","/api/v1/teams/112",17,"Wrigley Field","/api/v1/venues/17","/api/v1/game/631643/content",NA,NA,NA,NA,NA,NA,NA,NA
630943,"/api/v1.1/game/630943/feed/live","R","2020","2020-07-26T18:35:00Z","2020-07-26",FALSE,1,TRUE,"N","P","N","14-630943-2020-07-26","2020","day",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",5,TRUE,FALSE,1,2,1,"0.667",115,"Colorado Rockies","/api/v1/teams/115",2,FALSE,FALSE,1,1,2,"0.333",140,"Texas Rangers","/api/v1/teams/140",5325,"Globe Life Field","/api/v1/venues/5325","/api/v1/game/630943/content",NA,NA,NA,NA,NA,NA,NA,NA
631165,"/api/v1.1/game/631165/feed/live","R","2020","2020-07-26T20:10:00Z","2020-07-26",FALSE,1,TRUE,"N","P","N","14-631165-2020-07-26","2020","day",NA,9,FALSE,120,4,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",4,FALSE,FALSE,1,1,2,"0.333",108,"Los Angeles Angels","/api/v1/teams/108",6,TRUE,FALSE,1,2,1,"0.667",133,"Oakland Athletics","/api/v1/teams/133",10,"Oakland Coliseum","/api/v1/venues/10","/api/v1/game/631165/content",NA,NA,NA,NA,NA,NA,NA,NA
631097,"/api/v1.1/game/631097/feed/live","R","2020","2020-07-26T20:10:00Z","2020-07-26",FALSE,1,TRUE,"N","P","N","14-631097-2020-07-26","2020","day",NA,9,FALSE,120,4,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",4,TRUE,FALSE,1,1,2,"0.333",109,"Arizona Diamondbacks","/api/v1/teams/109",3,FALSE,FALSE,1,2,1,"0.667",135,"San Diego Padres","/api/v1/teams/135",2680,"Petco Park","/api/v1/venues/2680","/api/v1/game/631097/content",NA,NA,NA,NA,NA,NA,NA,NA
631240,"/api/v1.1/game/631240/feed/live","R","2020","2020-07-26T23:08:00Z","2020-07-26",FALSE,1,TRUE,"N","P","N","14-631240-2020-07-26","2020","night",NA,9,FALSE,145,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",14,TRUE,FALSE,1,2,1,"0.667",144,"Atlanta Braves","/api/v1/teams/144",1,FALSE,FALSE,1,1,2,"0.333",121,"New York Mets","/api/v1/teams/121",3289,"Citi Field","/api/v1/venues/3289","/api/v1/game/631240/content",NA,NA,NA,NA,NA,NA,NA,NA
